Binatang hidup;388790,889;21095,56;29968997;10849765
Daging hewan;1179602,35;200058,69;89587011;30191649
Ikan, krustasea, dan moluska;344214268,2;70724332,92;36990607;19054875
Susu, mentega, dan telur;60121870,11;3693357,259;117008582;39417617
Produk hewani;3182104,467;1845078,437;6434330;4011631
Pohon hidup dan bunga potong;1854465,465;713890,967;1481799;275672
Sayuran;10483748,54;9314370,114;119679818;105022266
Buah-buahan;69657725,2;124774489,5;130931835;59695722
Kopi, teh, dan rempah-rempah;130914370,7;35185209,91;31089833;11100584
Serealia;143074,885;141291,98;589004839;1439513758
Hasil penggilingan;14226645,64;25197109,29;18001166;32806998
Biji dan buah mengandung minyak;31808157,43;34669755,36;92875030;112663887
Lak, getah, dan damar;12446924,74;5206368,96;6687685;746553
Bahan anyaman nabati;47676459,99;397650136,9;338032;838575
Lemak dan minyak hewani/nabati;2592248907;3193373678;34575580;24717793
Olahan dari daging, ikan, krustasea, dan moluska;120375232,3;17057016,81;5652766;1451971
Gula dan kembang gula;52721358,3;120168322,3;327719160;512761558
Kakao dan olahannya;114301615,8;31082625,78;71398498;20733184
Olahan dari tepung;147105427;58146054,41;44009589;14353448
Olahan dari sayuran, buah, dan kacang;31114009,32;22679460,04;30413907;16789289
Berbagai makanan olahan;148907369;61870095,44;86917915;24556017
Minuman, alkohol, dan cuka;16757699,35;30634564,16;12151518;11654398
Ampas dan sisa industri makanan;188985038,4;628745799,5;363990122;642553513
Tembakau dan rokok;169923965,1;14592737,42;101496198;17027116
Garam, belerang, batu, dan semen;47162491,46;1951061625;126888806;1498414108
Bijih logam, terak, dan abu;814985165,3;476372712,4;176396794;1441103040
Bahan bakar mineral;4800741233;49609310660;3765280498;6248314961
Bahan kimia anorganik;200298845,6;349629834,9;201846296;431945741
Bahan kimia organik;257608661;262897315,8;556612279;478199207
Produk farmasi;51178650,91;2204025,737;110721981;4531059
Pupuk;88496090,09;267509728,2;200951468;666758332
Sari bahan samak dan celup;42922564,4;12353897,28;121174154;34629796
Minyak atsiri, wewangian, dan kosmetik;83567387,2;11047890,43;118642427;8980403
Sabun dan preparat pembersih;114138896,4;112294572,5;58278874;24218655
Perekat dan enzim;5505530,765;1977624,553;47195206;20332677
Bahan peledak, korek api, dan kembang api;719613,83;400085,1;14261884;1725171
Barang fotografi atau sinematografi;89997,19;8906,105;5388165;849254
Berbagai produk kimia;487668634,3;468859872,2;290478621;180273106
Plastik dan barang dari plastik;236682984,1;178515342,9;826702147;498167624
Karet dan barang dari karet;421245236,5;198352874,9;239319186;85818090
Jangat dan kulit mentah/samak;5909009,105;354243,687;44947904;6544266
Barang dari kulit samak;97543958,3;5044441,916;41407282;7448089
Kulit berbulu, bulu tiruan, dan barang daripadanya;17823,818;17,428;30284;1874
Kayu dan barang dari kayu;327035145,7;532140886,7;40036570;125188643
Gabus dan barang dari gabus;139,365;207,02;439499;49013
Barang anyaman;8004114,692;1448029,973;92415;5459
Pulp dari kayu;262222992,8;550171428,5;104239416;284857546
Kertas, karton, dan barang daripadanya;375051354,5;495217417,3;147158799;94263532
Produk industri percetakan;3409695,21;641122,108;16718094;2401913
Sutra;10910,634;1871,77;193740;11676
Wol, bulu hewan halus atau kasar;10508,356;262,69;6500278;321586
Kapas;35944140,27;11971051,42;121456539;38991009
Serat tekstil nabati lainnya;403946,952;2386001,14;22581190;2260019
Filamen buatan;61542681,19;20402988,35;138911221;44010361
Serat stapel buatan;127751838,2;71296468,13;97904809;30644116
Kain kempa, benang khusus, dan benang pintal;11442418,56;3181340,83;50495082;14905562
Karpet dan tekstil penutup lantai lainnya;3224174,683;949975,86;468041;138395
Kain tenunan khusus;2638513,571;178033,272;28294587;1908988
Kain tekstil dilapisi atau dilaminasi;10710349,06;2669733,04;51343622;7316304
Kain rajutan;11136208,58;1800322,658;123588811;16998414
Pakaian dan aksesorinya (rajutan);296614556,1;15201261,24;23101218;2207468
Pakaian dan aksesorinya (bukan rajutan);332016272,2;12262487,18;21797764;1462243
Barang tekstil jadi lainnya;12765969,23;2833330,988;18516550;5649966
Alas kaki;586161951,6;28369437,81;84937319;10371174
Tutup kepala dan bagiannya;7432680,862;507496,521;6535760;495049
Payung, tongkat, dan bagiannya;193162,34;35619,989;2703782;1578196
Barang dari bulu unggas, bunga artifisial, dan wig;25840809,22;583869,464;3836764;911523
Barang dari batu, semen, asbes, atau mika;16541737,43;28944187,86;48776998;115682321
Produk keramik;23154785,23;20151794;65408525;185946276
Kaca dan barang dari kaca;29288417,45;48121539,32;45840880;54077067
Logam mulia dan perhiasan/permata;760699931,6;121062,933;137436952;544578
Besi dan baja;2281720824;1528530593;987695995;1285589392
Barang dari besi dan baja;140715743,3;78909884,61;371794556;144849054
Tembaga dan barang daripadanya;194043397,1;24627193,74;126962075;16294451
Nikel dan barang daripadanya;544061637,3;146575701,1;6780780;228926
Aluminium dan barang daripadanya;97061242,84;823839689,7;167251851;63661197
Timbal dan barang daripadanya;5190778,665;2706778,31;5705705;2380833
Seng dan barang daripadanya;3363586,699;1521592,22;31272021;11446983
Timah dan barang daripadanya;189970996,7;7688216,415;2585726;105043
Logam tidak mulia lainnya;7987069,308;4373678,352;7258347;384216
Perkakas dan peralatan dari logam tidak mulia;8059140,244;568522,391;53082561;9500455
Berbagai barang logam tidak mulia;8294139,06;1686248,362;76312750;25658906
Mesin dan peralatan mekanis serta bagiannya;543854083,1;54049840,78;2920679615;466656440
Mesin dan perlengkapan elektrik serta bagiannya;1117788321;51157122,5;2208446673;149755418
Kereta api, trem, dan bagiannya;1800279,095;1285173,55;18253381;7575896
Kendaraan dan bagiannya;973943412,4;98672370,01;802566328;103877451
Kendaraan udara dan bagiannya;43421188,55;163876,109;92490766;62891
Kapal, perahu, dan struktur terapung;20684234,7;3714541,78;83280989;69117355
Instrumen optik, fotografi, sinematografi, dan medis;74823334,74;2929049,667;390487581;11124082
Jam dan arloji serta bagiannya;2464826,831;21442,581;30839980;1027100
Instrumen musik dan bagiannya;55615296,02;3582255,229;14410401;1007368
Senjata dan amunisi serta bagiannya;11796,097;1266,521;21214205;21561
Perabotan, lampu, dan alat penerangan;202101682,1;46407881,86;193171854;109809280
Mainan, permainan dan keperluan olahraga;52503927,56;4503251,003;44207304;10228971
Berbagai barang buatan pabrik;27642828,1;9819946,837;69875622;16722673
Karya seni, barang kolektor, dan barang antik;297371,959;61715,3;2059393;83173
Kendaraan bermotor dan komponennya (terbongkar tidak lengkap);88711,362;8736,6;69856176;7038811
Piranti lunak, barang digital dan barang kiriman;2264387,575;5267,497;83759926;15054
